,index,prediction
428,69928,22.0 centimetre
429,69929,22.0 centimetre
430,69930,22.0 centimetre
431,69931,
432,69932,
433,69933,26.0 gram
434,69934,80.0 gram
435,69935,14.8 centimetre
436,69936,14.8 centimetre
437,69937,
438,69938,67.7 inch
439,69939,
440,69940,
441,69941,
442,69942,
443,69943,8.0 inch
444,69944,8.0 inch
445,69945,12.0 centimetre
446,69946,12.0 centimetre
447,69947,12.0 centimetre
448,69948,1.97 inch
449,69949,1.97 inch
450,69950,1.97 inch
451,69951,
452,69952,
453,69953,
454,69954,
455,69955,
456,69956,
457,69957,
458,69958,
459,69959,
460,69960,33.0 pound
461,69961,
462,69962,
463,69963,
464,69964,
465,69965,
466,69966,
467,69967,
468,69968,20.0 centimetre
469,69969,20.0 centimetre
470,69970,1050.0 millimetre
471,69971,1050.0 millimetre
472,69972,9.0 centimetre
473,69973,9.0 centimetre
474,69974,9.0 centimetre
475,69975,5.0 centimetre
476,69976,5.0 centimetre
477,69977,5.0 centimetre
478,69978,100.0 millimetre
479,69979,100.0 millimetre
480,69980,200.0 centimetre
481,69981,287.0 pound
482,69982,
483,69983,
484,69984,
485,69985,150.0 centimetre
486,69986,28.0 centimetre
487,69987,14.5 centimetre
488,69988,6.8 centimetre
489,69989,6.8 centimetre
490,69990,33.5 inch
491,69991,15.5 centimetre
492,69992,9.5 centimetre
493,69993,70.0 centimetre
494,69994,
495,69995,
496,69996,105.0 millimetre
497,69997,2.0 centimetre
498,69998,2.0 centimetre
499,69999,
500,70000,
501,70001,
502,70002,
503,70003,26.3 centimetre
504,70004,26.3 centimetre
505,70005,175.0 centimetre
506,70006,175.0 centimetre
507,70007,175.0 centimetre
508,70008,86.4 centimetre
509,70009,86.4 centimetre
510,70010,
511,70011,340.0 gram
512,70012,70.0 centimetre
513,70013,70.0 centimetre
514,70014,
515,70015,20.3 centimetre
516,70016,20.3 centimetre
517,70017,
518,70018,
519,70019,13.0 centimetre
520,70020,10.0 centimetre
521,70021,
522,70022,
523,70023,
524,70024,158.0 centimetre
525,70025,
526,70026,
527,70027,28.0 centimetre
528,70028,11.8 inch
529,70029,11.8 inch
530,70030,11.8 inch
531,70031,
532,70032,25.0 centimetre
533,70033,86.0 centimetre
534,70034,86.0 centimetre
535,70035,
536,70036,
537,70037,455.0 millimetre
538,70038,90.0 centimetre
539,70039,
540,70040,
541,70041,
542,70042,80.0 centimetre
543,70043,30.0 centimetre
544,70044,30.0 centimetre
545,70045,200.0 millimetre
546,70046,
547,70047,
548,70048,
549,70049,8.0 centimetre
550,70050,8.0 centimetre
551,70051,23.0 centimetre
552,70052,8.0 centimetre
553,70053,8.0 centimetre
554,70054,90.0 centimetre
555,70055,14.7 centimetre
556,70056,14.7 centimetre
557,70057,
558,70058,
559,70059,
560,70060,71.0 centimetre
561,70061,
562,70062,
563,70063,4.7 centimetre
564,70064,4.7 centimetre
565,70065,0.37 centimetre
566,70066,
567,70067,
568,70068,6.0 foot
569,70069,6.0 foot
570,70070,100.0 centimetre
571,70071,
572,70072,
573,70073,
574,70074,
575,70075,330.0 pound
576,70076,29.5 centimetre
577,70077,60.0 centimetre
578,70078,540.0 gram
579,70079,12.27 kilogram
580,70080,46.0 centimetre
581,70081,
582,70082,
583,70083,11.5 centimetre
584,70084,82.0 centimetre
585,70085,
586,70086,6.9 foot
587,70087,
588,70088,40.0 centimetre
589,70089,40.0 centimetre
590,70090,30.6 centimetre
591,70091,
592,70092,
593,70093,
594,70094,78.0 inch
595,70095,78.0 inch
596,70096,21.0 centimetre
597,70097,21.0 centimetre
598,70098,21.0 centimetre
599,70099,28.0 centimetre
600,70100,
601,70101,
602,70102,
603,70103,120.0 millimetre
604,70104,120.0 millimetre
605,70105,24.0 gram
606,70106,480.0 ton
607,70107,
608,70108,
609,70109,4.0 foot
610,70110,4.0 foot
611,70111,
612,70112,
613,70113,309.0 millimetre
614,70114,
615,70115,
616,70116,
617,70117,42.0 centimetre
618,70118,42.0 centimetre
619,70119,24.0 centimetre
620,70120,24.0 centimetre
621,70121,15.0 centimetre
622,70122,
623,70123,1.7 centimetre
624,70124,
625,70125,
626,70126,72.0 centimetre
627,70127,9.8 centimetre
628,70128,9.8 centimetre
629,70129,5.51 inch
630,70130,5.51 inch
631,70131,6.5 centimetre
632,70132,6.5 centimetre
633,70133,117.0 centimetre
634,70134,117.0 centimetre
635,70135,
636,70136,
637,70137,
638,70138,2000.0 millimetre
639,70139,2000.0 millimetre
640,70140,11.0 centimetre
641,70141,8.5 centimetre
642,70142,8.5 centimetre
643,70143,139.0 millimetre
644,70144,139.0 millimetre
645,70145,127.0 gram
646,70146,
647,70147,
648,70148,5.0 centimetre
649,70149,5.0 centimetre
650,70150,5.0 centimetre
651,70151,38.0 centimetre
652,70152,25.0 centimetre
653,70153,25.0 centimetre
654,70154,25.0 centimetre
655,70155,1.0 ton
656,70156,
657,70157,8.0 millimetre
658,70158,
659,70159,19.0 centimetre
660,70160,19.0 centimetre
661,70161,23.0 centimetre
662,70162,1.5 pound
663,70163,270.0 millimetre
664,70164,270.0 millimetre
665,70165,8.0 centimetre
666,70166,8.0 centimetre
667,70167,
668,70168,
669,70169,260.0 pound
670,70170,100.0 centimetre
671,70171,100.0 centimetre
672,70172,100.0 centimetre
673,70173,22.8 centimetre
674,70174,75.0 centimetre
675,70175,128.0 centimetre
676,70176,128.0 centimetre
677,70177,3.0 inch
678,70178,
679,70179,200.0 centimetre
680,70180,
681,70181,
682,70182,978.0 millimetre
683,70183,978.0 millimetre
684,70184,34.0 centimetre
685,70185,
686,70186,
687,70187,
688,70188,140.0 centimetre
689,70189,
690,70190,40.0 centimetre
691,70191,
692,70192,
693,70193,
694,70194,
695,70195,
696,70196,
697,70197,14.0 centimetre
698,70198,14.0 centimetre
699,70199,88.0 centimetre
700,70200,88.0 centimetre
701,70201,310.0 millimetre
702,70202,165.0 centimetre
703,70203,165.0 centimetre
704,70204,9.0 ton
705,70205,0.0 metre
706,70206,0.0 metre
707,70207,57.8 pound
708,70208,10.0 centimetre
709,70209,
710,70210,300.0 millimetre
711,70211,300.0 millimetre
712,70212,300.0 millimetre
713,70213,9.0 centimetre
714,70214,9.0 centimetre
715,70215,147.0 centimetre
716,70216,12.1 centimetre
717,70217,12.1 centimetre
718,70218,23.0 kilogram
719,70219,14.0 centimetre
720,70220,0.0 centimetre
721,70221,0.0 centimetre
722,70222,16.5 centimetre
723,70223,9.0 centimetre
724,70224,9.0 centimetre
725,70225,
726,70226,
727,70227,5.8 inch
728,70228,5.8 inch
729,70229,20.0 centimetre
730,70230,15.0 millimetre
731,70231,
732,70232,
733,70233,78.0 millimetre
734,70234,78.0 millimetre
735,70235,120.0 centimetre
736,70236,
737,70237,9.3 centimetre
738,70238,9.3 centimetre
739,70239,
740,70240,
741,70241,11.8 inch
742,70242,11.8 inch
743,70243,11.8 inch
744,70244,
745,70245,
746,70246,
747,70247,
748,70248,140.0 centimetre
749,70249,
750,70250,25.0 centimetre
751,70251,25.0 centimetre
752,70252,25.0 centimetre
753,70253,5.0 centimetre
754,70254,12.0 centimetre
755,70255,5.0 millimetre
756,70256,5.0 millimetre
757,70257,98.0 centimetre
758,70258,71.0 inch
759,70259,71.0 inch
760,70260,25.0 millimetre
761,70261,907.0 gram
762,70262,
763,70263,49.0 centimetre
764,70264,48.0 centimetre
765,70265,48.0 centimetre
766,70266,
767,70267,5.0 inch
768,70268,70.0 centimetre
769,70269,70.0 centimetre
770,70270,185.0 centimetre
771,70271,185.0 centimetre
772,70272,
773,70273,
774,70274,
775,70275,6.0 centimetre
776,70276,6.0 centimetre
777,70277,120.0 centimetre
778,70278,120.0 centimetre
779,70279,5.0 centimetre
780,70280,88.0 centimetre
781,70281,88.0 centimetre
782,70282,28.0 centimetre
783,70283,28.0 centimetre
784,70284,12.0 inch
785,70285,120.0 centimetre
786,70286,120.0 centimetre
787,70287,215.0 millimetre
788,70288,42.0 centimetre
789,70289,
790,70290,
791,70291,
792,70292,
793,70293,130.0 centimetre
794,70294,15.0 centimetre
795,70295,15.0 centimetre
796,70296,
797,70297,
798,70298,37.0 centimetre
799,70299,460.0 millimetre
800,70300,460.0 millimetre
801,70301,14.0 centimetre
802,70302,
803,70303,155.0 millimetre
804,70304,155.0 millimetre
805,70305,155.0 millimetre
806,70306,
807,70307,
808,70308,
809,70309,
810,70310,20.0 centimetre
811,70311,7169.0 centimetre
812,70312,23.0 centimetre
813,70313,23.0 centimetre
814,70314,13.0 centimetre
815,70315,320.0 millimetre
816,70316,
817,70317,49.0 centimetre
818,70318,
819,70319,
820,70320,7.0 centimetre
821,70321,
822,70322,6.5 centimetre
823,70323,6.5 centimetre
824,70324,20.0 centimetre
825,70325,20.0 centimetre
826,70326,120.0 centimetre
827,70327,
828,70328,
829,70329,60.0 centimetre
830,70330,10.0 inch
831,70331,10.0 inch
832,70332,
833,70333,
834,70334,
835,70335,7.0 inch
836,70336,7.0 inch
837,70337,
838,70338,126.0 centimetre
839,70339,126.0 centimetre
840,70340,126.0 centimetre
841,70341,
842,70342,
843,70343,90.0 centimetre
844,70344,90.0 centimetre
845,70345,140.0 centimetre
846,70346,140.0 centimetre
847,70347,
848,70348,168.0 centimetre
849,70349,168.0 centimetre
850,70350,168.0 centimetre
851,70351,
852,70352,28.0 centimetre
853,70353,22.0 centimetre
854,70354,22.0 centimetre
855,70355,22.0 centimetre
856,70356,274.0 centimetre
857,70357,56.0 centimetre
858,70358,12.5 centimetre
859,70359,12.5 centimetre
860,70360,20.0 centimetre
861,70361,20.0 centimetre
862,70362,65.0 centimetre
863,70363,4.5 centimetre
864,70364,4.5 centimetre
865,70365,37.0 millimetre
866,70366,10.0 centimetre
867,70367,
868,70368,235.0 centimetre
869,70369,235.0 centimetre
870,70370,22.0 centimetre
871,70371,330.0 pound
872,70372,5.0 centimetre
873,70373,52.0 centimetre
874,70374,52.0 centimetre
875,70375,52.0 centimetre
876,70376,
877,70377,
878,70378,70.0 centimetre
879,70379,70.0 centimetre
880,70380,130.0 centimetre
881,70381,130.0 centimetre
882,70382,130.0 centimetre
883,70383,
884,70384,13.0 centimetre
885,70385,31.0 centimetre
886,70386,31.0 centimetre
887,70387,
888,70388,7.0 centimetre
889,70389,7.0 centimetre
890,70390,15.5 centimetre
891,70391,220.0 pound
892,70392,40.0 centimetre
893,70393,125.0 centimetre
894,70394,14.0 inch
895,70395,48.0 centimetre
896,70396,48.0 centimetre
897,70397,40.5 centimetre
898,70398,
899,70399,
900,70400,
901,70401,
902,70402,
903,70403,
904,70404,
905,70405,105.0 millimetre
906,70406,60.0 centimetre
907,70407,60.0 centimetre
908,70408,
909,70409,48.0 centimetre
910,70410,48.0 centimetre
911,70411,
912,70412,
913,70413,
914,70414,12.0 centimetre
915,70415,12.0 centimetre
916,70416,150.0 centimetre
917,70417,10.0 centimetre
918,70418,10.0 centimetre
919,70419,14.0 centimetre
920,70420,14.0 centimetre
921,70421,
922,70422,
923,70423,
924,70424,
925,70425,
926,70426,
927,70427,30.0 centimetre
928,70428,11.5 centimetre
929,70429,11.5 centimetre
930,70430,
931,70431,192.0 millimetre
932,70432,192.0 millimetre
933,70433,
934,70434,110.0 centimetre
935,70435,56.0 centimetre
936,70436,56.0 centimetre
937,70437,56.0 centimetre
938,70438,
939,70439,
940,70440,
941,70441,
942,70442,
943,70443,
944,70444,
945,70445,
946,70446,
947,70447,3.5 centimetre
948,70448,25.0 centimetre
949,70449,16.0 centimetre
950,70450,
951,70451,
952,70452,83.0 millimetre
953,70453,
954,70454,
955,70455,
956,70456,26.0 centimetre
957,70457,26.0 centimetre
958,70458,65.0 millimetre
959,70459,65.0 centimetre
960,70460,65.0 centimetre
961,70461,260.0 millimetre
962,70462,260.0 millimetre
963,70463,8.0 centimetre
964,70464,6.0 centimetre
965,70465,6.0 centimetre
966,70466,
967,70467,297.0 millimetre
968,70468,360.0 millimetre
969,70469,360.0 millimetre
970,70470,22.0 millimetre
971,70471,22.0 millimetre
972,70472,
973,70473,
974,70474,10.83 inch
975,70475,10.83 inch
976,70476,3.0 kilogram
977,70477,3.28 foot
978,70478,3.28 foot
979,70479,24.0 centimetre
980,70480,20.0 centimetre
981,70481,4.6 centimetre
982,70482,4.6 centimetre
983,70483,110.0 centimetre
984,70484,700.0 millimetre
985,70485,290.0 millimetre
986,70486,290.0 millimetre
987,70487,320.0 millimetre
988,70488,
989,70489,
990,70490,14.5 centimetre
991,70491,
992,70492,
993,70493,
994,70494,
995,70495,30.0 centimetre
996,70496,
997,70497,
998,70498,
999,70499,
1000,70500,
1001,70501,44.0 centimetre
1002,70502,
1003,70503,49.0 centimetre
1004,70504,
1005,70505,
1006,70506,
1007,70507,36.5 centimetre
1008,70508,15.0 centimetre
1009,70509,15.0 centimetre
1010,70510,
1011,70511,13.0 centimetre
1012,70512,13.0 centimetre
1013,70513,
1014,70514,4.0 millimetre
1015,70515,40.0 centimetre
1016,70516,9.6 centimetre
1017,70517,9.6 centimetre
1018,70518,
1019,70519,
1020,70520,
1021,70521,30.0 centimetre
1022,70522,13.0 centimetre
1023,70523,13.0 centimetre
1024,70524,13.0 centimetre
1025,70525,9.0 centimetre
1026,70526,9.0 centimetre
1027,70527,
1028,70528,
1029,70529,
1030,70530,10.5 centimetre
1031,70531,10.5 centimetre
1032,70532,8.5 centimetre
1033,70533,14.5 centimetre
1034,70534,14.5 centimetre
1035,70535,21.0 centimetre
1036,70536,21.0 centimetre
1037,70537,21.0 centimetre
1038,70538,
1039,70539,12.0 centimetre
1040,70540,22.0 centimetre
1041,70541,22.0 centimetre
1042,70542,44.0 centimetre
1043,70543,13.0 centimetre
1044,70544,
1045,70545,
1046,70546,35.0 centimetre
1047,70547,35.0 centimetre
1048,70548,100.0 centimetre
1049,70549,
1050,70550,
1051,70551,30.0 centimetre
1052,70552,30.0 centimetre
1053,70553,295.0 millimetre
1054,70554,
1055,70555,46.0 millimetre
1056,70556,46.0 millimetre
1057,70557,
1058,70558,
1059,70559,30.0 centimetre
1060,70560,30.0 centimetre
1061,70561,9.0 centimetre
1062,70562,
1063,70563,28.0 centimetre
1064,70564,28.0 centimetre
1065,70565,167.0 millimetre
1066,70566,7.0 centimetre
1067,70567,9.0 centimetre
1068,70568,94.0 inch
1069,70569,105.0 millimetre
1070,70570,105.0 millimetre
1071,70571,5.2 inch
1072,70572,140.0 millimetre
1073,70573,5.8 centimetre
1074,70574,
1075,70575,
1076,70576,
1077,70577,8.0 centimetre
1078,70578,
1079,70579,14.2 centimetre
1080,70580,14.2 centimetre
1081,70581,210.0 ton
1082,70582,12.0 inch
1083,70583,71.0 gram
1084,70584,120.0 centimetre
1085,70585,120.0 centimetre
1086,70586,13.0 millimetre
1087,70587,42.0 millimetre
1088,70588,
1089,70589,15.0 centimetre
1090,70590,15.0 centimetre
1091,70591,
1092,70592,
1093,70593,
1094,70594,
1095,70595,
1096,70596,100.0 millimetre
1097,70597,100.0 millimetre
1098,70598,
1099,70599,
1100,70600,27.0 centimetre
1101,70601,20.0 centimetre
1102,70602,
1103,70603,15.0 inch
1104,70604,360.0 millimetre
1105,70605,330.0 pound
1106,70606,22.0 centimetre
1107,70607,22.0 centimetre
1108,70608,22.0 centimetre
1109,70609,20.0 centimetre
1110,70610,
1111,70611,1.7 kilogram
1112,70612,
1113,70613,
1114,70614,
1115,70615,98.0 millimetre
1116,70616,98.0 millimetre
1117,70617,
1118,70618,
1119,70619,34.0 centimetre
1120,70620,34.0 centimetre
1121,70621,
1122,70622,52.0 gram
1123,70623,
1124,70624,18.0 centimetre
1125,70625,18.0 centimetre
1126,70626,18.0 centimetre
1127,70627,2.6 millimetre
1128,70628,14.0 centimetre
1129,70629,
1130,70630,14.2 inch
1131,70631,14.2 inch
1132,70632,8.0 centimetre
1133,70633,
1134,70634,9.8 centimetre
1135,70635,13.5 centimetre
1136,70636,13.5 centimetre
1137,70637,92.0 centimetre
1138,70638,
1139,70639,
1140,70640,31.3 centimetre
1141,70641,12.0 centimetre
1142,70642,293.0 millimetre
1143,70643,293.0 millimetre
1144,70644,
1145,70645,
1146,70646,
1147,70647,
1148,70648,
1149,70649,9.0 inch
1150,70650,17.0 centimetre
1151,70651,
1152,70652,
1153,70653,
1154,70654,15.3 centimetre
1155,70655,
1156,70656,58.0 centimetre
1157,70657,58.0 centimetre
1158,70658,4.0 metre
1159,70659,
1160,70660,
1161,70661,
1162,70662,4.4 centimetre
1163,70663,4.4 centimetre
1164,70664,4.4 centimetre
1165,70665,3.2 centimetre
1166,70666,3.2 centimetre
1167,70667,100.0 gram
1168,70668,172.0 centimetre
1169,70669,
1170,70670,15.5 centimetre
1171,70671,15.5 centimetre
1172,70672,
1173,70673,1850.0 millimetre
1174,70674,1850.0 millimetre
1175,70675,1850.0 millimetre
1176,70676,34.0 centimetre
1177,70677,762.0 millimetre
1178,70678,1.0 centimetre
1179,70679,1.0 centimetre
1180,70680,150.0 centimetre
1181,70681,150.0 centimetre
1182,70682,
1183,70683,
1184,70684,
1185,70685,14.0 centimetre
1186,70686,14.0 centimetre
1187,70687,
1188,70688,
1189,70689,20.0 centimetre
1190,70690,
1191,70691,
1192,70692,
1193,70693,
1194,70694,65.0 centimetre
1195,70695,
1196,70696,718.0 ton
1197,70697,
1198,70698,
1199,70699,19.0 centimetre
1200,70700,19.0 centimetre
1201,70701,12.0 centimetre
1202,70702,12.0 centimetre
1203,70703,29.7 centimetre
1204,70704,29.7 centimetre
1205,70705,
1206,70706,80.0 centimetre
1207,70707,
1208,70708,
1209,70709,
1210,70710,4170.0 centimetre
1211,70711,4170.0 centimetre
1212,70712,
1213,70713,
1214,70714,1213.0 millimetre
1215,70715,8.0 centimetre
1216,70716,8.0 centimetre
1217,70717,
1218,70718,14.0 centimetre
1219,70719,14.0 centimetre
1220,70720,24.5 centimetre
1221,70721,3.0 centimetre
1222,70722,3.0 centimetre
1223,70723,11.8 inch
1224,70724,11.8 inch
1225,70725,8.0 millimetre
1226,70726,8.0 millimetre
1227,70727,8.0 millimetre
1228,70728,14.9 inch
1229,70729,14.9 inch
1230,70730,
1231,70731,
1232,70732,
1233,70733,25.0 centimetre
1234,70734,27.0 inch
1235,70735,
1236,70736,
